field_cattle_tag,date,oyster,length.mm,width.mm,depth.mm,dead,stuck,image.name
85,20240909,1,44.9,37.98,13.18,,,IMG_6944
85,20240909,2,43.35,27.87,9.89,,,IMG_6944
85,20240909,3,44.44,37.01,13.63,,,IMG_6944
85,20240909,4,51.25,45.95,14.69,,,IMG_6944
85,20240909,5,43.29,34.53,18.21,,,IMG_6944
85,20240909,6,42.05,40.23,11.22,,,IMG_6944
85,20240909,7,60.86,38.51,16.59,,,IMG_6944
85,20240909,8,60.37,37.49,17.56,,,IMG_6944
85,20240909,9,42.96,48.17,16.47,,,IMG_6944
85,20240909,10,33.88,28.89,14.11,,,IMG_6944
85,20240909,11,35.35,42.95,15.36,,,IMG_6944
85,20240909,12,39.37,31.77,14.15,,,IMG_6944
85,20240909,13,42.29,28.78,12.61,,,IMG_6944
85,20240909,14,40.56,45.87,13.39,,,IMG_6944
85,20240909,15,53.77,41.34,14.35,,,IMG_6944
85,20240909,16,40.02,32.73,15.51,,,IMG_6944
85,20240909,17,33.95,34.31,11.5,,,IMG_6944
85,20240909,18,33.39,30.28,12.3,,,IMG_6944
85,20240909,19,35.31,34.75,13.75,,,IMG_6944
85,20240909,20,53.09,37.12,15.28,,,IMG_6944
85,20240909,21,40.46,39.99,12.53,,,IMG_6944
85,20240909,22,39.93,34.38,13.41,,,IMG_6944
85,20240909,23,41.92,33.62,13.67,,,IMG_6944
85,20240909,24,41.48,31.99,15.53,,,IMG_6944
85,20240909,25,37.98,30.15,15.42,,,IMG_6944
85,20240909,26,39.79,44.2,15.01,,,IMG_6944
85,20240909,27,47.37,38.8,14.06,,,IMG_6944
85,20240909,28,45.32,44.79,15.44,,,IMG_6944
85,20240909,29,41.23,31.72,10.45,,,IMG_6945
85,20240909,30,38.41,35.13,13.78,,,IMG_6945
85,20240909,31,44.13,34.73,14.83,,,IMG_6945
85,20240909,32,49.89,46.05,14.05,,,IMG_6945
85,20240909,33,41.73,41.51,15.25,,,IMG_6945
85,20240909,34,40.27,37.2,12.93,,,IMG_6945
85,20240909,35,43.34,40.68,12.63,,,IMG_6945
85,20240909,36,39.29,29.53,14.17,,,IMG_6945
85,20240909,37,34.13,23.21,8.58,,,IMG_6945
85,20240909,38,41.71,35.18,11.84,,,IMG_6945
85,20240909,39,42.71,33.85,12.6,,,IMG_6945
85,20240909,40,41.27,29.48,13.25,,,IMG_6945
85,20240909,41,35.38,33.67,11.85,,,IMG_6945
85,20240909,42,46.1,34.56,14.81,,,IMG_6945
85,20240909,43,37.94,30.75,9.09,,,IMG_6945
85,20240909,44,36.87,29.16,12.21,,,IMG_6945
85,20240909,45,45.27,39.87,11.85,,,IMG_6945
85,20240909,46,41.77,40.39,13.03,,,IMG_6945
85,20240909,47,41.14,38.62,12.34,,,IMG_6945
85,20240909,48,57.07,34.88,13.05,,,IMG_6945
85,20240909,49,35.51,34.01,12.24,,,IMG_6945
85,20240909,50,46.52,33.97,12.9,,,IMG_6945
85,20240909,51,35.75,28.77,12.89,,,IMG_6945
85,20240909,52,41.09,37.61,13.55,,,IMG_6945
85,20240909,53,39.2,39.92,14.38,,,IMG_6945
85,20240909,54,37.2,37.76,13.21,,,IMG_6945
85,20240909,55,49.71,33.11,12.26,,,IMG_6945
85,20240909,56,54.21,38.42,13.9,,,IMG_6945
85,20240909,57,40.14,33.82,11.67,,,IMG_6945
85,20240909,58,38.93,46.07,14.37,,,IMG_6945
85,20240909,59,49.56,37.62,16.25,,,IMG_6945
85,20240909,60,39.4,41.25,11.46,,,IMG_6945
